,datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
5,2019.12.30 23:57:19,88,5.4,64.785,6.5,33.2,2
12,2019.12.30 23:52:19,88,5.6,66.129,6.563,33.2,2
19,2019.12.30 23:47:18,88,5.7,62.903,6.563,33.2,2
26,2019.12.30 23:42:13,88,5.5,63.978,6.625,33.2,2
32,2019.12.30 23:37:13,88,5.9,65.323,6.625,33.2,2
39,2019.12.30 23:32:11,88,5.9,65.591,6.625,33.2,2
46,2019.12.30 23:27:11,88,6.3,65.323,6.688,33.2,2
53,2019.12.30 23:22:11,88,6.6,65.054,6.688,33.2,2
60,2019.12.30 23:17:10,88,6.8,64.516,6.688,33.2,2
67,2019.12.30 23:12:10,88,6.8,63.978,6.75,33.2,2
74,2019.12.30 23:07:09,88,6.6,62.903,6.75,33.2,2
81,2019.12.30 23:02:09,88,6.5,65.323,6.813,33.2,2
88,2019.12.30 22:57:08,88,6.5,65.323,6.813,33.2,2
95,2019.12.30 22:52:08,88,6.5,64.247,6.813,33.2,2
102,2019.12.30 22:47:08,88,6.6,64.516,6.875,33.2,2
109,2019.12.30 22:42:08,88,6.9,65.86,6.875,33.2,2
116,2019.12.30 22:37:07,88,6.9,64.247,6.938,33.2,2
123,2019.12.30 22:32:06,88,6.9,65.591,6.938,33.2,2
129,2019.12.30 22:27:06,88,6.8,63.978,6.938,33.2,2
136,2019.12.30 22:22:06,88,7.1,64.516,6.938,33.2,2
142,2019.12.30 22:17:05,88,7,66.129,6.938,33.2,2
149,2019.12.30 22:12:05,88,7.2,65.591,7,33.2,2
155,2019.12.30 22:07:04,88,7.1,62.903,7,33.2,2
162,2019.12.30 22:02:04,88,7.2,65.323,7.063,33.2,2
169,2019.12.30 21:57:04,88,7.1,63.71,7,33.2,2
176,2019.12.30 21:52:03,88,7.2,65.591,7.063,33.2,2
183,2019.12.30 21:47:04,88,7.3,64.516,7.063,33.2,2
190,2019.12.30 21:42:03,88,7.4,64.516,7.125,33.2,2
197,2019.12.30 21:37:02,88,7.3,65.054,7.188,33.2,2
203,2019.12.30 21:32:01,88,7.5,66.398,7.125,33.2,2
210,2019.12.30 21:27:01,88,7.4,63.978,7.188,33.2,2
217,2019.12.30 21:22:01,88,7.5,65.323,7.125,33.2,2
223,2019.12.30 21:17:01,88,7.5,65.86,7.25,33.2,2
230,2019.12.30 21:12:00,88,7.6,63.441,7.25,33.2,2
237,2019.12.30 21:07:00,88,7.6,65.323,7.25,33.2,2
244,2019.12.30 21:02:00,88,7.7,66.398,7.313,33.2,2
250,2019.12.30 20:56:59,88,7.6,64.516,7.313,33.2,2
257,2019.12.30 20:51:59,88,7.7,62.366,7.313,33.2,2
264,2019.12.30 20:46:58,88,7.6,62.366,7.375,33.2,2
270,2019.12.30 20:41:59,88,7.4,63.172,7.375,33.2,2
282,2019.12.30 20:31:56,88,7.6,64.516,7.438,33.2,2
289,2019.12.30 20:26:55,88,7.5,64.516,7.5,33.2,2
296,2019.12.30 20:21:54,88,7.6,65.591,7.438,33.2,2
303,2019.12.30 20:16:54,88,7.3,66.398,7.563,33.2,2
310,2019.12.30 20:11:53,88,7.3,64.247,7.625,33.2,2
317,2019.12.30 20:06:53,88,7.6,66.398,7.688,33.2,2
323,2019.12.30 20:01:52,88,7.9,65.591,7.688,33.2,2
330,2019.12.30 19:56:52,88,7.9,65.323,7.75,33.2,2
336,2019.12.30 19:51:52,88,8.1,65.054,7.813,33.2,2
343,2019.12.30 19:46:51,88,8.2,66.398,7.813,33.2,2
350,2019.12.30 19:41:50,88,8.6,66.129,7.875,33.2,2
357,2019.12.30 19:36:50,88,8.6,65.054,8,33.2,2
364,2019.12.30 19:31:50,88,8.9,65.054,8,33.2,2
371,2019.12.30 19:26:49,88,8.2,62.903,8.063,33.2,2
378,2019.12.30 19:21:49,88,8.7,63.978,7.938,33.2,2
385,2019.12.30 19:16:48,88,8.4,65.054,8.063,33.2,2
392,2019.12.30 19:11:48,88,8.3,62.366,8.188,33.2,2
399,2019.12.30 19:06:48,88,8.7,65.591,8.063,33.2,2
406,2019.12.30 19:01:47,88,9.1,62.097,8.25,33.2,2
413,2019.12.30 18:56:47,88,10,62.366,8.313,33.2,2
420,2019.12.30 18:51:46,89,11.8,63.71,8.438,33.2,2
427,2019.12.30 18:46:46,89,11.8,62.903,8.438,33.2,2
434,2019.12.30 18:41:45,89,11.3,65.054,8.5,33.2,2
441,2019.12.30 18:36:45,88,10.8,65.054,8.5,33.2,2
448,2019.12.30 18:31:45,88,10.8,63.172,8.563,33.2,2
455,2019.12.30 18:26:44,89,11.1,65.054,8.563,33.2,2
462,2019.12.30 18:21:44,89,11.1,64.785,8.625,33.2,2
469,2019.12.30 18:16:44,89,11.1,64.785,8.75,33.2,2
476,2019.12.30 18:11:44,89,11.1,63.441,8.813,33.2,2
483,2019.12.30 18:06:43,89,11.2,64.516,8.625,33.2,2
490,2019.12.30 18:01:43,89,11.5,65.054,8.938,33.2,2
497,2019.12.30 17:56:42,89,11.5,65.323,9,33.2,2
503,2019.12.30 17:51:42,89,11.4,64.785,9.063,33.2,2
509,2019.12.30 17:46:41,89,11.5,63.71,9.188,33.2,2
516,2019.12.30 17:41:41,90,12.1,61.828,9.063,33.2,2
523,2019.12.30 17:36:40,90,12.3,65.591,9.313,33.2,2
530,2019.12.30 17:31:40,90,12.4,62.634,9.375,33.2,2
537,2019.12.30 17:26:40,90,12.4,65.591,9.313,33.2,2
544,2019.12.30 17:21:40,91,13.1,63.71,9.438,33.2,2
551,2019.12.30 17:16:40,91,13.3,64.247,9.375,33.2,2
557,2019.12.30 17:11:39,91,13.7,62.634,9.25,33.2,2
564,2019.12.30 17:06:38,84,14.9,65.86,9.563,33.2,2
571,2019.12.30 17:01:38,82,15,63.441,9.563,33.2,2
578,2019.12.30 16:56:38,75,15.8,63.978,9.688,33.2,2
585,2019.12.30 16:51:37,68,17,61.828,9.625,33.2,2
592,2019.12.30 16:46:37,63,18.1,62.097,9.688,33.2,2
599,2019.12.30 16:41:37,60,18.2,64.785,9.813,33.2,2
606,2019.12.30 16:36:36,62,17.7,65.054,9.5,33.2,2
613,2019.12.30 16:31:36,58,18.2,64.516,9.563,33.2,2
619,2019.12.30 16:26:36,54,19.3,63.978,10.063,33.2,2
626,2019.12.30 16:21:36,56,18.9,61.828,9.938,33.2,2
633,2019.12.30 16:16:35,54,19.5,63.71,9.75,33.2,2
640,2019.12.30 16:11:34,54,19.4,64.516,9.938,33.2,2
646,2019.12.30 16:06:34,48,20.4,63.978,9.938,33.2,2
653,2019.12.30 16:01:34,50,20.7,63.441,10.063,33.2,2
659,2019.12.30 15:56:34,45,21.7,65.054,9.938,33.2,2
665,2019.12.30 15:51:33,45,21,63.978,10.125,33.2,2
670,2019.12.30 15:46:33,44,21.5,63.441,9.5,33.2,2
677,2019.12.30 15:41:32,50,21,63.978,10.063,33.2,2
684,2019.12.30 15:36:32,34,24.2,65.054,10,33.2,2
691,2019.12.30 15:31:32,35,24.9,62.097,9.875,33.2,2
698,2019.12.30 15:26:32,32,25.7,65.054,10.063,33.2,2
705,2019.12.30 15:21:32,37,24.8,63.441,10.063,33.2,2
712,2019.12.30 15:16:31,41,22.6,65.054,10.188,33.2,2
719,2019.12.30 15:11:30,39,23.3,63.441,9.688,33.2,2
726,2019.12.30 15:06:30,39,22.8,64.516,10.063,33.2,2
733,2019.12.30 15:01:30,40,21.9,62.366,10.125,33.2,2
740,2019.12.30 14:56:30,49,20.3,65.054,10.125,33.2,2
747,2019.12.30 14:51:30,46,21.1,63.441,10.063,33.2,2
754,2019.12.30 14:46:28,46,20.7,61.828,10.125,33.2,2
761,2019.12.30 14:41:29,39,23.8,63.71,9.938,33.2,2
767,2019.12.30 14:36:28,50,19.1,65.054,10.063,33.2,2
774,2019.12.30 14:31:28,34,23.6,62.366,10.063,33.2,2
781,2019.12.30 14:26:27,31,24.4,64.247,10.063,33.2,2
788,2019.12.30 14:21:27,34,24.1,65.054,9.938,33.2,2
795,2019.12.30 14:16:27,29,25.9,63.441,9.938,33.2,2
802,2019.12.30 14:11:27,36,24.8,63.441,9.875,33.2,2
809,2019.12.30 14:06:25,34,24.2,64.516,10,33.2,2
815,2019.12.30 14:01:24,29,24.7,62.366,9.75,33.2,2
821,2019.12.30 13:56:25,33,24.1,62.903,9.625,33.2,2
827,2019.12.30 13:51:25,32,24.1,63.978,9.75,33.2,2
834,2019.12.30 13:46:25,33,23.2,64.516,9.375,33.2,2
841,2019.12.30 13:41:24,30,24.5,63.441,9.688,33.2,2
848,2019.12.30 13:36:23,32,26.2,63.978,9.563,33.2,2
854,2019.12.30 13:31:22,32,25.7,65.323,9.438,33.2,2
861,2019.12.30 13:26:23,30,25,64.516,9.375,33.2,2
868,2019.12.30 13:21:23,25,26.3,61.828,9.313,33.2,2
875,2019.12.30 13:16:21,22,29.7,63.441,9.125,33.2,2
882,2019.12.30 13:11:21,27,27.7,63.441,9.125,33.2,2
889,2019.12.30 13:06:22,29,24.7,65.054,9.125,33.2,2
896,2019.12.30 13:01:21,29,25.8,64.516,8.875,33.2,2
903,2019.12.30 12:56:20,27,27.6,64.516,8.938,33.2,2
910,2019.12.30 12:51:19,30,26.1,63.71,8.688,33.2,2
917,2019.12.30 12:46:19,44,22,64.516,8.75,33.2,2
923,2019.12.30 12:41:19,27,28.7,63.441,8.625,33.2,2
930,2019.12.30 12:36:19,36,23.7,62.097,8.188,33.2,2
937,2019.12.30 12:31:18,26,26.5,64.516,8.438,33.2,2
944,2019.12.30 12:26:17,26,27.7,64.247,8.375,33.2,2
951,2019.12.30 12:21:16,32,26.1,61.828,8.25,33.2,2
958,2019.12.30 12:16:16,36,23.4,63.978,8.188,33.2,2
965,2019.12.30 12:11:15,37,23.3,65.323,8.125,33.2,2
972,2019.12.30 12:06:16,21,31.9,62.097,7.938,33.2,2
979,2019.12.30 12:01:16,23,29.8,65.323,7.875,33.2,2
986,2019.12.30 11:56:15,24,30.2,62.634,7.625,33.2,2
992,2019.12.30 11:51:15,21,31.4,64.247,7.625,33.2,2
999,2019.12.30 11:46:14,24,30,65.591,7.563,33.2,2
1006,2019.12.30 11:41:13,29,28.9,62.366,7.438,33.2,2
1012,2019.12.30 11:36:14,30,28.5,65.591,7.313,33.2,2
1019,2019.12.30 11:31:12,34,26.9,64.516,7.125,33.2,2
1026,2019.12.30 11:26:12,30,27.7,63.978,6.875,33.2,2
1033,2019.12.30 11:21:12,31,28.2,64.516,6.75,33.2,2
1040,2019.12.30 11:16:11,29,28.9,63.978,6.5,33.2,2
1047,2019.12.30 11:11:11,30,27.7,63.978,6.5,33.2,2
1054,2019.12.30 11:06:10,30,28,66.129,6.375,33.2,2
1061,2019.12.30 11:01:10,31,27.6,65.86,6.188,33.2,2
1068,2019.12.30 10:56:10,34,26.7,63.441,6.063,33.2,2
1075,2019.12.30 10:51:09,37,25.7,65.323,5.938,33.2,2
1082,2019.12.30 10:46:09,41,24.7,64.785,5.75,33.2,2
1089,2019.12.30 10:41:09,42,25.2,65.054,5.688,33.2,2
1096,2019.12.30 10:36:08,54,21.2,64.247,5.563,33.2,2
1103,2019.12.30 10:31:08,58,18.8,62.903,5.438,33.2,2
1110,2019.12.30 10:26:07,50,22.1,65.86,5.313,33.2,2
1117,2019.12.30 10:21:07,56,18.9,62.366,5.125,33.2,2
1122,2019.12.30 10:16:07,51,21.1,63.978,5.063,33.2,2
1129,2019.12.30 10:11:06,71,15,64.247,4.938,33.2,2
1136,2019.12.30 10:06:06,70,16.2,66.398,4.875,33.2,2
1143,2019.12.30 10:01:05,69,17.1,64.516,4.75,33.2,2
1150,2019.12.30 09:56:05,58,18.7,66.129,4.625,33.2,2
1157,2019.12.30 09:51:05,63,17.9,63.441,4.563,33.2,2
1163,2019.12.30 09:46:05,59,17.8,65.591,4.563,33.2,2
1170,2019.12.30 09:41:05,57,19.3,65.86,4.438,33.2,2
1177,2019.12.30 09:36:04,55,19.5,64.516,4.438,33.2,2
1184,2019.12.30 09:31:03,54,19.6,64.516,4.375,33.2,2
1191,2019.12.30 09:26:04,59,19.9,64.516,4.313,33.2,2
1198,2019.12.30 09:21:02,69,19.5,63.441,4.25,33.2,2
1205,2019.12.30 09:16:02,71,16.9,64.785,4.188,33.2,2
1212,2019.12.30 09:11:09,72,17.3,62.634,4.25,33.2,2
1219,2019.12.30 09:06:02,79,15.3,65.323,4.188,33.2,2
