,datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
4,2019.12.30 23:57:32,88,5.6,74.131,6.063,33.2,6
10,2019.12.30 23:52:32,88,5.5,77.22,6.25,33.2,6
18,2019.12.30 23:47:31,88,5.5,74.903,6.25,33.2,6
24,2019.12.30 23:42:26,88,5.6,80.309,6.25,33.2,6
31,2019.12.30 23:37:24,88,5.8,78.378,6.188,33.2,6
38,2019.12.30 23:32:24,88,5.9,79.537,6.438,33.2,6
45,2019.12.30 23:27:24,88,6,76.062,6.438,33.2,6
51,2019.12.30 23:22:23,88,6.4,79.151,6.375,33.2,6
59,2019.12.30 23:17:22,88,6.6,79.537,6.625,33.2,6
66,2019.12.30 23:12:20,88,6.8,77.606,6.563,33.2,6
73,2019.12.30 23:07:22,88,6.6,75.676,6.5,33.2,6
80,2019.12.30 23:02:19,88,6.5,76.448,6.563,33.2,6
87,2019.12.30 22:57:18,88,6.4,73.359,6.563,33.2,6
93,2019.12.30 22:52:18,88,6.4,72.587,6.688,33.2,6
100,2019.12.30 22:47:17,88,6.5,76.062,6.563,33.2,6
108,2019.12.30 22:42:16,88,6.9,77.606,6.5,33.2,6
115,2019.12.30 22:37:15,88,6.9,72.587,6.813,33.2,6
122,2019.12.30 22:32:15,88,7,79.537,6.875,33.2,6
128,2019.12.30 22:27:14,88,6.8,81.081,6.813,33.2,6
135,2019.12.30 22:22:13,88,7,74.903,6.625,33.2,6
141,2019.12.30 22:17:12,88,7.2,77.22,6.688,33.2,6
148,2019.12.30 22:12:12,88,7.2,77.606,6.938,33.2,6
154,2019.12.30 22:07:11,88,7.2,79.923,6.813,33.2,6
161,2019.12.30 22:02:10,88,7.1,79.151,6.875,33.2,6
168,2019.12.30 21:57:09,88,7.2,73.745,6.688,33.2,6
175,2019.12.30 21:52:09,88,7.2,80.695,6.938,33.2,6
182,2019.12.30 21:47:08,88,7.3,74.517,7.063,33.2,6
189,2019.12.30 21:42:07,88,7.3,75.676,6.875,33.2,6
196,2019.12.30 21:37:07,88,7.5,80.309,6.75,33.2,6
202,2019.12.30 21:32:06,88,7.4,74.903,7,33.2,6
209,2019.12.30 21:27:05,88,7.4,79.537,7.125,33.2,6
215,2019.12.30 21:22:05,88,7.6,75.29,7.125,33.2,6
222,2019.12.30 21:17:04,88,7.7,72.587,7.25,33.2,6
229,2019.12.30 21:12:03,88,7.4,74.903,7.25,33.2,6
236,2019.12.30 21:07:02,88,7.5,75.676,7.313,33.2,6
243,2019.12.30 21:02:02,88,7.7,76.062,7.125,33.2,6
249,2019.12.30 20:57:01,88,7.6,72.587,7.438,33.2,6
256,2019.12.30 20:52:00,88,7.3,76.448,7.375,33.2,6
263,2019.12.30 20:46:59,88,7.6,79.151,7.313,33.2,6
271,2019.12.30 20:41:59,88,7.4,78.764,7.313,33.2,6
277,2019.12.30 20:36:59,88,7.5,76.834,7.438,33.2,6
283,2019.12.30 20:31:55,88,7.6,74.903,7.438,33.2,6
290,2019.12.30 20:26:54,88,7.5,77.22,7.375,33.2,6
297,2019.12.30 20:21:53,88,7.6,72.587,7.563,33.2,6
304,2019.12.30 20:16:53,88,7.3,78.764,7.625,33.2,6
311,2019.12.30 20:11:52,88,7.3,80.309,7.563,33.2,6
318,2019.12.30 20:06:52,88,7.6,77.22,7.563,33.2,6
325,2019.12.30 20:01:50,88,7.9,74.131,7.75,33.2,6
332,2019.12.30 19:56:50,88,7.8,75.29,7.688,33.2,6
338,2019.12.30 19:51:50,88,8.2,76.834,7.875,33.2,6
345,2019.12.30 19:46:49,88,7.9,72.587,7.938,33.2,6
352,2019.12.30 19:41:48,88,8.8,77.22,7.875,33.2,6
359,2019.12.30 19:36:46,88,8.6,74.517,8.063,33.2,6
366,2019.12.30 19:31:46,88,8.5,74.131,8.063,33.2,6
373,2019.12.30 19:26:46,88,8,74.903,8.375,33.2,6
379,2019.12.30 19:21:46,88,8.7,76.062,8.313,33.2,6
387,2019.12.30 19:16:44,88,8.3,81.853,8.313,33.2,6
394,2019.12.30 19:11:43,88,8.5,80.695,8.438,33.2,6
401,2019.12.30 19:06:43,88,8.8,74.903,8.438,33.2,6
407,2019.12.30 19:01:42,88,9.6,75.676,8.5,33.2,6
415,2019.12.30 18:56:41,89,11,80.309,8.688,33.2,6
422,2019.12.30 18:51:40,89,11.8,74.131,8.75,33.2,6
428,2019.12.30 18:46:40,89,11.9,76.448,8.875,33.2,6
436,2019.12.30 18:41:39,89,11,80.309,8.813,33.2,6
443,2019.12.30 18:36:38,88,10.8,76.448,8.938,33.2,6
450,2019.12.30 18:31:37,88,10.9,74.131,9.125,33.2,6
456,2019.12.30 18:26:37,89,11.3,74.903,9.188,33.2,6
463,2019.12.30 18:21:36,89,11.1,77.22,9.375,33.2,6
471,2019.12.30 18:16:35,89,11.2,75.676,9.438,33.2,6
478,2019.12.30 18:11:34,89,11.2,75.29,9.625,33.2,6
485,2019.12.30 18:06:34,89,11.2,78.764,9.313,33.2,6
492,2019.12.30 18:01:34,89,11.4,72.973,9.75,33.2,6
499,2019.12.30 17:56:32,89,11.5,74.903,9.75,33.2,6
504,2019.12.30 17:51:33,89,11.6,77.22,9.875,33.2,6
511,2019.12.30 17:46:31,89,11.6,79.923,10,33.2,6
518,2019.12.30 17:41:31,90,12.2,77.22,10.125,33.2,6
525,2019.12.30 17:36:31,90,12.5,76.448,10.25,33.2,6
531,2019.12.30 17:31:30,90,12.5,80.309,10.375,33.2,6
539,2019.12.30 17:26:28,90,12.7,74.517,10.5,33.2,6
546,2019.12.30 17:21:27,91,13.1,76.448,10.375,33.2,6
553,2019.12.30 17:16:30,91,13.4,75.29,10.625,33.2,6
559,2019.12.30 17:11:28,89,14.2,73.745,10.875,33.2,6
566,2019.12.30 17:06:25,84,15.1,76.062,10.875,33.2,6
573,2019.12.30 17:01:23,77,15.5,77.606,11.063,33.2,6
580,2019.12.30 16:56:23,70,16.3,77.992,11.125,33.2,6
587,2019.12.30 16:51:23,63,17.7,74.903,11.125,33.2,6
594,2019.12.30 16:46:22,60,18.3,80.695,11.438,33.2,6
601,2019.12.30 16:41:21,60,17.9,76.834,11.625,33.2,6
608,2019.12.30 16:36:20,62,17.4,74.903,11.75,33.2,6
615,2019.12.30 16:31:19,53,19.8,77.992,11.75,33.2,6
621,2019.12.30 16:26:19,55,19.1,73.745,11.875,33.2,6
628,2019.12.30 16:21:18,56,18.9,74.903,11.938,33.2,6
635,2019.12.30 16:16:17,51,20.1,73.745,12.188,33.2,6
641,2019.12.30 16:11:17,52,19,77.992,12.313,33.2,6
648,2019.12.30 16:06:14,47,20.9,77.22,12.375,33.2,6
655,2019.12.30 16:01:14,50,19.8,74.903,12.5,33.2,6
661,2019.12.30 15:56:13,44,21.5,76.062,12.688,33.2,6
667,2019.12.30 15:51:12,50,20.1,77.22,12.688,33.2,6
672,2019.12.30 15:46:12,41,22.4,73.359,12.938,33.2,6
679,2019.12.30 15:41:11,38,22.6,76.062,13.125,33.2,6
686,2019.12.30 15:36:10,36,23.6,79.537,13.188,33.2,6
692,2019.12.30 15:31:10,36,26.4,77.992,13.438,33.2,6
699,2019.12.30 15:26:09,35,24.9,75.676,13.5,33.2,6
707,2019.12.30 15:21:08,41,23.8,80.309,13.5,33.2,6
714,2019.12.30 15:16:07,41,22.9,76.448,13.75,33.2,6
721,2019.12.30 15:11:07,41,23,75.676,13.75,33.2,6
728,2019.12.30 15:06:06,44,21.3,76.448,14,33.2,6
735,2019.12.30 15:01:05,44,22.3,75.29,14,33.2,6
741,2019.12.30 14:56:06,45,20.5,75.29,14.063,33.2,6
749,2019.12.30 14:51:04,45,22.5,77.992,14.188,33.2,6
756,2019.12.30 14:46:03,40,23.1,80.309,14.125,33.2,6
762,2019.12.30 14:41:04,44,22.6,77.606,14.125,33.2,6
769,2019.12.30 14:36:02,40,22.7,76.062,14.188,33.2,6
775,2019.12.30 14:31:01,33,25.2,74.131,14.375,33.2,6
783,2019.12.30 14:26:00,39,23.2,77.992,14.25,33.2,6
790,2019.12.30 14:21:00,32,24.5,80.695,14.313,33.2,6
