,datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
5579,2019.12.24 12:22:48,67,19.8,52.525,9.25,33.2,7
5612,2019.12.24 12:02:46,81,16.7,55.556,8.813,33.2,7
5619,2019.12.24 11:57:45,76,17.2,54.545,8.688,33.2,7
5626,2019.12.24 11:52:45,74,17.7,56.566,8.563,33.2,7
5633,2019.12.24 11:47:46,83,15.5,57.576,8.5,33.2,7
5654,2019.12.24 11:32:43,71,18.2,57.701,8.25,33.2,7
5668,2019.12.24 11:22:44,65,18.6,54.04,7.938,33.2,7
5675,2019.12.24 11:17:43,56,21.3,54.545,7.813,33.2,7
5682,2019.12.24 11:12:42,65,20.1,55.051,7.625,33.2,7
5689,2019.12.24 11:07:43,68,19.1,57.071,7.5,33.2,7
5703,2019.12.24 10:57:42,78,16.7,53.535,7.313,33.2,7
5710,2019.12.24 10:52:41,77,17.3,58.081,7.25,33.2,7
5731,2019.12.24 10:37:40,91,14.7,53.535,6.938,33.2,7
5758,2019.12.24 10:17:38,91,13.4,54.545,6.688,33.2,7
5765,2019.12.24 10:12:39,84,15.8,58.206,6.625,33.2,7
6121,2019.12.24 00:58:38,87,4.7,56.186,6.563,33.2,7
6257,2019.12.23 23:18:22,88,6.3,60.226,7.188,33.2,7
6285,2019.12.23 22:58:21,88,6.4,58.081,7.375,33.2,7
6382,2019.12.23 21:48:15,88,6.8,53.535,7.875,33.2,7
6451,2019.12.23 20:58:12,88,7.7,56.186,8.188,33.2,7
6465,2019.12.23 20:48:11,88,8,52.02,8.313,33.2,7
6507,2019.12.23 20:18:09,88,8,56.566,8.625,33.2,7
6514,2019.12.23 20:13:09,88,8.4,52.02,8.688,33.2,7
6535,2019.12.23 19:58:08,88,8.7,98.99,8.875,33.2,7
6555,2019.12.23 19:43:07,88,9.1,56.186,9,33.2,7
6562,2019.12.23 19:38:06,88,9.1,58.081,9.063,33.2,7
6589,2019.12.23 19:18:05,88,10.8,53.535,9.25,33.2,7
6595,2019.12.23 19:13:04,88,10.2,56.566,9.313,33.2,7
6609,2019.12.23 19:03:04,88,10.8,50,9.5,33.2,7
6616,2019.12.23 18:58:05,88,10.9,54.041,9.5,33.2,7
6664,2019.12.23 18:23:01,89,11.9,54.545,19.875,33.2,7
6685,2019.12.23 18:08:00,90,12.2,50,10.063,33.2,7
6706,2019.12.23 17:52:59,90,12.7,52.02,10.25,33.2,7
6727,2019.12.23 17:37:58,90,12.6,52.525,10.5,33.2,7
6734,2019.12.23 17:32:58,91,13,52.02,10.625,33.2,7
6741,2019.12.23 17:27:57,91,13.7,52.525,10.625,33.2,7
6748,2019.12.23 17:22:57,88,14.2,54.041,10.813,33.2,7
