,datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
13,2019.12.30 23:50:04,88,5.6,74,6.313,33.2,8
20,2019.12.30 23:44:59,88,5.6,70.8,6.25,33.2,8
33,2019.12.30 23:34:56,88,5.9,72.4,6.5,33.2,8
40,2019.12.30 23:29:57,88,5.9,74,6.5,33.2,8
47,2019.12.30 23:24:56,88,6.4,74.8,6.5,33.2,8
61,2019.12.30 23:14:53,88,6.8,73.2,6.625,33.2,8
68,2019.12.30 23:09:54,88,6.7,70.4,6.625,33.2,8
75,2019.12.30 23:04:53,88,6.6,74.8,6.438,33.2,8
82,2019.12.30 22:59:52,88,6.5,80.8,6.438,33.2,8
89,2019.12.30 22:54:52,88,6.5,74.8,6.375,33.2,8
96,2019.12.30 22:49:50,88,6.5,80,6.625,33.2,8
110,2019.12.30 22:39:49,88,6.9,73.6,6.563,33.2,8
117,2019.12.30 22:34:48,88,7,73.2,6.688,33.2,8
130,2019.12.30 22:24:46,88,6.9,70.8,6.688,33.2,8
137,2019.12.30 22:19:47,88,7.1,76.8,6.688,33.2,8
143,2019.12.30 22:14:46,88,6.9,71.6,6.625,33.2,8
150,2019.12.30 22:09:45,88,7.2,73.6,6.75,33.2,8
156,2019.12.30 22:04:43,88,7.2,74.4,6.75,33.2,8
163,2019.12.30 21:59:43,88,7.3,75.6,6.688,33.2,8
170,2019.12.30 21:54:42,88,7.1,70,6.5,33.2,8
177,2019.12.30 21:49:42,88,7.3,70.8,6.688,33.2,8
184,2019.12.30 21:44:40,88,7.3,74.8,6.813,33.2,8
191,2019.12.30 21:39:40,88,7.4,72.4,6.813,33.2,8
198,2019.12.30 21:34:39,88,7.3,70.8,6.938,33.2,8
204,2019.12.30 21:29:38,88,7.4,75.6,6.875,33.2,8
211,2019.12.30 21:24:37,88,7.5,70,6.688,33.2,8
218,2019.12.30 21:19:37,88,7.5,72.4,6.875,33.2,8
224,2019.12.30 21:14:36,88,7.6,71.2,6.875,33.2,8
231,2019.12.30 21:09:35,88,7.4,73.2,6.938,33.2,8
238,2019.12.30 21:04:34,88,7.7,71.6,6.938,33.2,8
245,2019.12.30 20:59:35,88,7.5,74.4,6.813,33.2,8
251,2019.12.30 20:54:33,88,7.7,76,7,33.2,8
258,2019.12.30 20:49:32,88,7.8,73.6,7,33.2,8
265,2019.12.30 20:44:33,88,7.4,84.8,6.938,33.2,8
272,2019.12.30 20:39:32,88,7.4,81.6,7,33.2,8
278,2019.12.30 20:34:31,88,7.4,79.2,7,33.2,8
284,2019.12.30 20:29:30,88,7.6,73.2,6.938,33.2,8
291,2019.12.30 20:24:28,88,7.5,73.6,6.938,33.2,8
298,2019.12.30 20:19:29,88,7.5,72.8,6.875,33.2,8
305,2019.12.30 20:14:28,88,7.2,74,7,33.2,8
312,2019.12.30 20:09:28,88,7.4,90.4,7.188,33.2,8
319,2019.12.30 20:04:26,88,7.6,74.8,7.188,33.2,8
