,datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
0,2019.12.30 23:59:52,88,5.7,77.155,6.125,33.2,9
7,2019.12.30 23:54:51,88,5.4,81.034,6.188,33.2,9
14,2019.12.30 23:49:51,88,5.6,82.759,6.125,33.2,9
21,2019.12.30 23:44:45,88,5.6,78.017,6.125,33.2,9
27,2019.12.30 23:39:45,88,5.6,76.724,6.25,33.2,9
34,2019.12.30 23:34:44,88,5.8,78.879,6.375,33.2,9
41,2019.12.30 23:29:42,88,5.9,75.431,6.375,33.2,9
48,2019.12.30 23:24:41,88,6.4,84.483,6.375,33.2,9
55,2019.12.30 23:19:41,88,6.6,78.448,6.313,33.2,9
62,2019.12.30 23:14:40,88,6.8,78.879,6.563,33.2,9
69,2019.12.30 23:09:39,88,6.6,79.741,6.438,33.2,9
76,2019.12.30 23:04:38,88,6.6,79.741,6.563,33.2,9
83,2019.12.30 22:59:37,88,6.5,79.741,6.5,33.2,9
90,2019.12.30 22:54:37,88,6.4,78.448,6.563,33.2,9
97,2019.12.30 22:49:36,88,6.3,78.017,6.5,33.2,9
104,2019.12.30 22:44:35,88,6.6,78.879,6.625,33.2,9
111,2019.12.30 22:39:34,88,6.7,84.052,6.75,33.2,9
118,2019.12.30 22:34:34,88,7.1,75.862,6.563,33.2,9
124,2019.12.30 22:29:32,88,6.9,79.741,6.75,33.2,9
131,2019.12.30 22:24:32,88,6.8,80.172,6.5,33.2,9
138,2019.12.30 22:19:32,88,7.2,78.879,6.813,33.2,9
144,2019.12.30 22:14:30,88,7.1,82.328,6.75,33.2,9
151,2019.12.30 22:09:30,88,7.1,78.879,6.75,33.2,9
157,2019.12.30 22:04:30,88,7.1,83.621,6.875,33.2,9
164,2019.12.30 21:59:29,88,7.2,79.31,6.938,33.2,9
171,2019.12.30 21:54:27,88,7.2,79.741,6.875,33.2,9
178,2019.12.30 21:49:26,88,7.3,75.431,6.813,33.2,9
185,2019.12.30 21:44:27,88,7.3,76.724,6.938,33.2,9
192,2019.12.30 21:39:26,88,7.4,78.017,7,33.2,9
199,2019.12.30 21:34:25,88,7.3,75.431,6.75,33.2,9
205,2019.12.30 21:29:24,88,7.5,81.034,7,33.2,9
212,2019.12.30 21:24:23,88,7.5,78.448,6.875,33.2,9
219,2019.12.30 21:19:23,88,7.4,79.741,7.063,33.2,9
225,2019.12.30 21:14:23,88,7.6,78.448,6.938,33.2,9
232,2019.12.30 21:09:22,88,7.5,78.879,7.063,33.2,9
239,2019.12.30 21:04:20,88,7.6,82.328,7.063,33.2,9
246,2019.12.30 20:59:20,88,7.6,79.31,7.125,33.2,9
252,2019.12.30 20:54:20,88,7.7,78.879,7.25,33.2,9
259,2019.12.30 20:49:19,88,7.7,80.603,7.063,33.2,9
266,2019.12.30 20:44:17,88,7.5,81.466,7.188,33.2,9
