datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
2019.12.12 16:15:02,91,13.8,0,0,33.2,1
2019.12.12 16:01:15,91,13.8,66.667,12.563,33.2,1
2019.12.12 15:56:15,91,13.7,20,12.313,33.2,1
2019.12.12 15:34:12,91,15,46.667,12.563,33.2,1
2019.12.12 15:29:12,91,14.8,0,12.438,33.2,1
2019.12.12 15:24:12,91,14.7,40,12.563,33.2,1
2019.12.12 15:19:12,91,14.8,93.333,12.563,33.2,1
2019.12.12 15:14:12,91,14.9,80,12.563,33.2,1
2019.12.12 15:09:12,91,15,46.667,12.5,33.2,1
2019.12.12 15:04:12,91,15.2,13.333,12.563,33.2,1
2019.12.12 14:59:12,92,16.9,33.333,12.375,33.2,1
2019.12.12 14:49:13,92,17.1,40,0,33.2,1
2019.12.12 14:44:12,92,16.9,13.333,12.5,33.2,1
2019.12.12 14:39:12,90,17.3,40,12.563,33.2,1
2019.12.12 14:34:12,87,17.4,33.333,12.438,33.2,1
2019.12.12 14:29:12,85,17.6,60,12.563,33.2,1
2019.12.12 14:24:12,83,17.9,13.333,12.5,33.2,1
2019.12.12 14:19:12,83,17.8,20,12.438,33.2,1
2019.12.12 14:14:12,83,17.6,40,12.563,33.2,1
2019.12.12 14:09:12,83,17.7,26.667,12.313,33.2,1
2019.12.12 13:59:11,84,17.6,33.333,12.25,33.2,1
2019.12.12 13:54:12,89,17.2,13.333,12.313,33.2,1
2019.12.12 13:49:12,88,17,26.667,12.188,33.2,1
2019.12.12 13:44:11,82,17.2,73.333,12.375,33.2,1
2019.12.12 13:39:11,83,17.1,46.667,12.375,33.2,1
2019.12.12 13:34:11,87,16.7,40,12.25,33.2,1
2019.12.12 13:19:11,86,17.3,66.667,12.188,33.2,1
2019.12.12 13:14:11,83,17.9,13.333,,33.2,1
2019.12.12 13:09:11,84,17.8,40,12,33.2,1
2019.12.12 13:04:11,89,17.2,20,11.938,33.2,1
2019.12.12 12:59:11,86,17.4,60,12,33.2,1
2019.12.12 12:54:11,79,17.9,60,12.063,33.2,1
2019.12.12 12:49:10,78,18.2,13.333,11.875,33.2,1
2019.12.12 12:44:11,82,17.6,40,11.813,33.2,1
2019.12.12 12:34:11,78,17.3,26.667,11.75,33.2,1
2019.12.12 12:29:10,77,17.2,40,11.688,33.2,1
2019.12.12 12:24:10,84,17,46.667,11.625,33.2,1
2019.12.12 12:19:10,85,16.9,26.667,11.625,33.2,1
2019.12.12 12:14:10,87,16.4,0,,33.2,1
2019.12.12 12:09:11,89,16.8,0,,33.2,1
2019.12.12 11:59:10,91,15.9,33.333,11.375,33.2,1
2019.12.12 11:54:10,91,15.4,13.333,11.438,33.2,1
2019.12.12 11:49:10,91,15,26.667,11.563,33.2,1
2019.12.12 11:44:10,91,14.6,66.667,11.25,33.2,1
2019.12.12 11:39:10,91,14.3,40,11.438,33.2,1
2019.12.12 11:34:10,91,14.3,40,11.5,33.2,1
2019.12.12 11:29:10,91,14.2,40,11.375,33.2,1
2019.12.12 11:24:10,91,14.2,86.667,11.25,33.2,1
2019.12.12 11:19:10,91,14.1,0,0,33.2,1
2019.12.12 11:12:33,91,14.6,81.818,11.25,33.2,1
2019.12.12 11:07:33,91,13.9,0,11.188,33.2,1
2019.12.12 11:02:33,91,13.6,45.455,11.313,33.2,1
2019.12.12 10:57:33,91,13.8,54.545,11.438,33.2,1
2019.12.12 10:52:33,91,13.6,36.364,11.375,33.2,1
2019.12.12 10:47:33,91,13.1,18.182,11.375,33.2,1
2019.12.12 10:42:33,90,12.9,54.545,11.438,33.2,1
2019.12.12 10:32:33,91,13.4,0,11.313,33.2,1
2019.12.12 10:27:33,91,13.3,18.182,11.313,33.2,1
2019.12.12 10:17:33,91,13.9,45.455,11.125,33.2,1
2019.12.12 10:12:33,91,14,45.455,11.25,33.2,1
2019.12.12 10:02:33,91,13.9,36.364,11.188,33.2,1
2019.12.12 09:57:33,91,13.9,27.273,11.188,33.2,1
2019.12.12 09:52:33,91,13.9,0,11.125,33.2,1
2019.12.12 09:47:33,91,14.2,54.545,11.063,33.2,1
2019.12.12 09:42:33,91,14,63.636,10.938,33.2,1
2019.12.12 09:37:32,91,13.5,45.455,10.938,33.2,1
2019.12.12 09:32:32,91,13.2,72.727,10.938,33.2,1
2019.12.12 09:27:32,91,13.1,45.455,,33.2,1
2019.12.12 09:22:33,91,13.1,36.364,10.938,33.2,1
2019.12.12 09:17:32,91,13.2,36.364,10.688,33.2,1
2019.12.12 09:12:33,91,13.6,9.091,10.813,33.2,1
2019.12.12 09:07:32,91,13.2,18.182,10.688,33.2,1
2019.12.12 09:02:32,90,12.7,45.455,10.75,33.2,1
2019.12.12 08:57:32,91,13,45.455,10.688,33.2,1
2019.12.12 08:52:32,91,13.2,54.545,10.625,33.2,1
2019.12.12 08:47:32,90,12.7,36.364,10.625,33.2,1
2019.12.12 08:42:32,90,12.8,90.909,10.438,33.2,1
2019.12.12 08:37:32,90,12.5,36.364,10.563,33.2,1
2019.12.12 08:32:32,90,12.5,36.364,10.625,33.2,1
2019.12.12 08:27:32,90,12.1,54.545,10.375,33.2,1
2019.12.12 08:22:32,90,12,45.455,10.5,33.2,1
2019.12.12 08:17:32,89,11.9,18.182,10.375,33.2,1
2019.12.12 08:12:32,89,11.5,54.545,10.438,33.2,1
2019.12.12 08:07:32,89,11.4,45.455,10.313,33.2,1
2019.12.12 08:02:32,89,11.1,90.909,10.5,33.2,1
2019.12.12 07:57:32,88,10.9,9.091,10.375,33.2,1
2019.12.12 07:52:32,88,10.5,0,10.313,33.2,1
2019.12.12 07:47:32,88,10.4,36.364,10.313,33.2,1
2019.12.12 07:42:32,88,10,54.545,10.313,33.2,1
2019.12.12 07:37:32,88,9.8,36.364,10.438,33.2,1
