,datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
2,2019.12.12 16:17:28,91,13.7,54.941,13.188,33.2,4
11,2019.12.12 16:12:27,91,14.1,56.522,13,33.2,4
33,2019.12.12 15:57:25,91,13.8,53.36,13.125,33.2,4
44,2019.12.12 15:47:24,91,14,56.522,13.313,33.2,4
52,2019.12.12 15:37:23,91,15.2,55.731,13.313,33.2,4
61,2019.12.12 15:32:22,91,14.6,53.755,13.313,33.2,4
70,2019.12.12 15:27:21,91,14.9,54.941,13.313,33.2,4
79,2019.12.12 15:22:21,91,15,52.174,13.25,33.2,4
88,2019.12.12 15:17:20,91,14.6,55.731,13.438,33.2,4
97,2019.12.12 15:12:19,91,15.8,55.731,13.563,33.2,4
106,2019.12.12 15:07:19,91,14.6,50.593,13.375,33.2,4
115,2019.12.12 15:02:18,92,16.3,53.755,13.438,33.2,4
124,2019.12.12 14:57:17,92,17,52.569,13.313,33.2,4
132,2019.12.12 14:52:17,92,17,54.941,13.5,33.2,4
141,2019.12.12 14:47:16,92,17,54.15,13.625,33.2,4
150,2019.12.12 14:42:15,91,17.3,55.731,13.5,33.2,4
159,2019.12.12 14:37:15,88,17.4,54.15,13.688,33.2,4
168,2019.12.12 14:32:14,85,17.6,49.802,13.813,33.2,4
177,2019.12.12 14:27:13,82,17.7,56.522,13.75,33.2,4
186,2019.12.12 14:22:13,83,17.7,57.312,13.813,33.2,4
195,2019.12.12 14:17:12,83,17.7,52.174,13.75,33.2,4
204,2019.12.12 14:12:12,81,17.7,52.569,13.75,33.2,4
213,2019.12.12 14:07:10,83,17.8,56.522,13.813,33.2,4
221,2019.12.12 14:02:10,85,17.7,49.802,13.75,33.2,4
230,2019.12.12 13:57:09,86,17.3,51.779,13.75,33.2,4
239,2019.12.12 13:52:09,88,17,52.174,13.75,33.2,4
248,2019.12.12 13:47:08,85,17.6,52.174,13.625,33.2,4
257,2019.12.12 13:42:07,83,17.4,54.941,13.688,33.2,4
266,2019.12.12 13:37:07,84,16.7,56.522,13.625,33.2,4
275,2019.12.12 13:32:06,90,16.7,53.36,13.625,33.2,4
283,2019.12.12 13:27:06,81,17.3,55.731,13.625,33.2,4
291,2019.12.12 13:22:05,84,17.4,54.15,13.625,33.2,4
300,2019.12.12 13:17:04,81,17.7,54.545,13.438,33.2,4
309,2019.12.12 13:12:03,82,17.9,54.941,13.563,33.2,4
318,2019.12.12 13:07:03,89,17.6,57.312,13.313,33.2,4
327,2019.12.12 13:02:02,90,17,55.336,13.438,33.2,4
336,2019.12.12 12:57:01,81,17.6,53.36,13.125,33.2,4
345,2019.12.12 12:52:01,81,18,52.174,13.313,33.2,4
354,2019.12.12 12:47:00,81,18,53.36,13.25,33.2,4
363,2019.12.12 12:42:00,78,17.2,56.522,13.188,33.2,4
371,2019.12.12 12:36:59,80,17.2,51.779,12.875,33.2,4
380,2019.12.12 12:31:58,79,17.4,51.779,13,33.2,4
389,2019.12.12 12:26:58,81,17.2,51.779,12.875,33.2,4
398,2019.12.12 12:21:57,85,17.2,53.755,12.875,33.2,4
407,2019.12.12 12:16:56,86,16.7,54.15,12.438,33.2,4
416,2019.12.12 12:11:56,89,16.4,52.964,12.375,33.2,4
425,2019.12.12 12:06:55,87,16.9,54.545,12.125,33.2,4
433,2019.12.12 12:01:54,92,16.1,50.593,12.188,33.2,4
442,2019.12.12 11:56:54,91,15.6,53.36,12.125,33.2,4
451,2019.12.12 11:51:53,91,15.2,58.103,12,33.2,4
460,2019.12.12 11:46:54,91,14.7,53.755,12,33.2,4
469,2019.12.12 11:41:52,91,14.2,56.522,11.813,33.2,4
478,2019.12.12 11:36:51,91,14.2,54.545,11.875,33.2,4
487,2019.12.12 11:31:51,91,14.2,56.522,11.875,33.2,4
496,2019.12.12 11:26:50,91,14.2,53.755,11.75,33.2,4
505,2019.12.12 11:21:49,91,14.2,53.36,11.625,33.2,4
514,2019.12.12 11:16:48,91,14.4,54.941,11.563,33.2,4
521,2019.12.12 11:11:48,91,14.6,56.522,11.688,33.2,4
530,2019.12.12 11:06:47,91,13.7,54.545,11.625,33.2,4
539,2019.12.12 11:01:48,91,13.5,55.731,11.688,33.2,4
548,2019.12.12 10:56:46,91,13.9,52.569,11.75,33.2,4
557,2019.12.12 10:51:46,91,13.6,51.383,11.688,33.2,4
566,2019.12.12 10:46:45,90,12.6,53.755,11.75,33.2,4
575,2019.12.12 10:41:44,90,12.9,54.941,11.813,33.2,4
583,2019.12.12 10:36:43,91,13.1,55.731,11.813,33.2,4
592,2019.12.12 10:31:43,91,13.2,58.498,11.813,33.2,4
601,2019.12.12 10:26:42,91,13.1,55.731,11.688,33.2,4
609,2019.12.12 10:21:42,90,12.7,52.569,11.625,33.2,4
618,2019.12.12 10:16:41,91,13.9,55.336,11.813,33.2,4
627,2019.12.12 10:11:40,91,14.3,55.336,11.688,33.2,4
635,2019.12.12 10:06:40,91,14.2,54.941,,33.2,4
644,2019.12.12 10:01:39,91,14,55.336,11.625,33.2,4
653,2019.12.12 09:56:39,91,13.9,52.569,11.5,33.2,4
662,2019.12.12 09:51:38,91,14,51.383,11.25,33.2,4
671,2019.12.12 09:46:37,91,14.5,54.545,11.375,33.2,4
680,2019.12.12 09:41:37,91,13.8,57.312,11.125,33.2,4
689,2019.12.12 09:36:36,91,13.2,54.941,11.125,33.2,4
698,2019.12.12 09:31:36,91,13.2,52.174,11.188,33.2,4
707,2019.12.12 09:26:35,91,13.4,50.593,11,33.2,4
716,2019.12.12 09:21:34,91,13,51.779,10.875,33.2,4
725,2019.12.12 09:16:33,91,13.2,55.336,11,33.2,4
734,2019.12.12 09:11:33,91,13.5,51.779,10.813,33.2,4
743,2019.12.12 09:06:32,91,13,52.964,10.875,33.2,4
752,2019.12.12 09:01:31,91,13.5,54.15,10.875,33.2,4
761,2019.12.12 08:56:31,91,13.1,53.36,10.75,33.2,4
770,2019.12.12 08:51:30,91,13,55.336,10.5,33.2,4
779,2019.12.12 08:46:30,90,12.9,51.383,10.5,33.2,4
788,2019.12.12 08:41:28,90,12.6,54.15,10.438,33.2,4
797,2019.12.12 08:36:27,90,12.4,54.941,10.313,33.2,4
806,2019.12.12 08:31:27,90,12.4,57.312,10.188,33.2,4
815,2019.12.12 08:26:26,90,12,57.312,10.188,33.2,4
824,2019.12.12 08:21:25,90,12.1,54.941,10.125,33.2,4
833,2019.12.12 08:16:24,89,11.8,50.988,9.875,33.2,4
842,2019.12.12 08:11:23,89,11.6,53.36,9.813,33.2,4
851,2019.12.12 08:06:23,89,11.2,51.383,9.875,33.2,4
860,2019.12.12 08:01:22,89,11,55.336,9.625,33.2,4
869,2019.12.12 07:56:21,88,10.9,53.755,9.688,33.2,4
878,2019.12.12 07:51:21,88,10.6,55.731,9.75,33.2,4
887,2019.12.12 07:46:20,88,10.4,56.126,9.688,33.2,4
896,2019.12.12 07:41:20,88,10,53.755,9.688,33.2,4
905,2019.12.12 07:36:19,88,9.9,52.964,9.625,33.2,4
914,2019.12.12 07:31:19,88,9.6,56.522,9.75,33.2,4
923,2019.12.12 07:26:19,88,9.2,55.336,9.625,33.2,4
932,2019.12.12 07:21:17,88,9.8,52.964,9.813,33.2,4
941,2019.12.12 07:16:17,88,9.3,56.522,9.688,33.2,4
950,2019.12.12 07:11:16,88,9.7,54.941,9.563,33.2,4
959,2019.12.12 07:06:15,88,9.5,56.522,9.625,33.2,4
967,2019.12.12 07:01:15,88,9.2,51.383,9.375,33.2,4
976,2019.12.12 06:56:14,88,9.3,53.755,9.375,33.2,4
985,2019.12.12 06:51:13,88,9.1,57.312,9.563,33.2,4
994,2019.12.12 06:46:12,88,9,51.383,9.625,33.2,4
1003,2019.12.12 06:41:11,88,9,56.522,9.563,33.2,4
1012,2019.12.12 06:36:11,88,9,58.893,9.625,33.2,4
1021,2019.12.12 06:31:10,88,8.4,54.941,9.688,33.2,4
1030,2019.12.12 06:26:09,88,8.7,53.755,9.438,33.2,4
1039,2019.12.12 06:21:10,88,9.3,56.917,9.5,33.2,4
1048,2019.12.12 06:16:08,88,9.5,54.941,9.563,33.2,4
1057,2019.12.12 06:11:07,88,8.9,52.964,9.5,33.2,4
1066,2019.12.12 06:06:06,88,8.8,52.964,9.688,33.2,4
1075,2019.12.12 06:01:06,88,9.1,52.964,9.625,33.2,4
1083,2019.12.12 05:56:05,88,9.2,52.964,9.438,33.2,4
1092,2019.12.12 05:51:04,88,9.5,55.731,9.438,33.2,4
1101,2019.12.12 05:46:03,88,8.6,51.779,9.563,33.2,4
1110,2019.12.12 05:41:03,88,9.1,55.731,9.625,33.2,4
1119,2019.12.12 05:36:02,88,8.9,53.36,9.5,33.2,4
1128,2019.12.12 05:31:01,88,8.8,58.103,9.563,33.2,4
1137,2019.12.12 05:26:01,88,8.6,58.498,9.438,33.2,4
1146,2019.12.12 05:21:00,88,8.4,53.36,9.5,33.2,4
1155,2019.12.12 05:15:59,88,8.5,55.336,9.438,33.2,4
1164,2019.12.12 05:10:59,88,9.2,52.964,9.375,33.2,4
1173,2019.12.12 05:05:58,88,9.1,50.988,9.375,33.2,4
1182,2019.12.12 05:00:58,88,8.8,56.522,9.125,33.2,4
1190,2019.12.12 04:55:56,88,8.6,56.522,9.438,33.2,4
1199,2019.12.12 04:50:56,88,8.6,54.941,9.313,33.2,4
1208,2019.12.12 04:45:55,88,9,53.755,9.313,33.2,4
1217,2019.12.12 04:40:54,88,8.8,54.15,9.375,33.2,4
1225,2019.12.12 04:35:54,88,8.6,57.708,9.375,33.2,4
1234,2019.12.12 04:30:53,88,8.8,50.198,9.375,33.2,4
1243,2019.12.12 04:25:52,88,8.6,53.755,9.313,33.2,4
1252,2019.12.12 04:20:51,88,8.3,53.36,9.563,33.2,4
1261,2019.12.12 04:15:51,88,7.9,57.312,9.625,33.2,4
1270,2019.12.12 04:10:50,88,7.6,53.36,9.688,33.2,4
1279,2019.12.12 04:05:49,88,8.6,58.498,9.75,33.2,4
1288,2019.12.12 04:00:48,88,9.3,51.383,9.563,33.2,4
1297,2019.12.12 03:55:48,88,9.2,50.988,9.938,33.2,4
1306,2019.12.12 03:50:47,88,8.5,54.941,9.75,33.2,4
1315,2019.12.12 03:45:46,88,8.6,51.383,9.875,33.2,4
1324,2019.12.12 03:40:46,88,9.4,54.941,10,33.2,4
1333,2019.12.12 03:35:45,88,9.7,56.126,10,33.2,4
1342,2019.12.12 03:30:44,88,9.9,50.988,10.125,33.2,4
1351,2019.12.12 03:25:43,88,9.8,51.383,10.188,33.2,4
1360,2019.12.12 03:20:43,88,9.8,55.731,10.25,33.2,4
1369,2019.12.12 03:15:43,88,10,55.336,10.125,33.2,4
1378,2019.12.12 03:10:42,88,10,56.126,10.125,33.2,4
1387,2019.12.12 03:05:41,88,10,55.731,10.25,33.2,4
1395,2019.12.12 03:00:41,88,10.2,55.336,10.063,33.2,4
1404,2019.12.12 02:55:40,88,10.1,55.336,10,33.2,4
1413,2019.12.12 02:50:39,88,10,54.941,10.188,33.2,4
1422,2019.12.12 02:45:38,88,10.1,56.522,10.188,33.2,4
1431,2019.12.12 02:40:38,88,9.9,52.569,10,33.2,4
1440,2019.12.12 02:35:37,88,9.6,52.964,10.063,33.2,4
1449,2019.12.12 02:30:36,88,9.8,52.569,10.063,33.2,4
1457,2019.12.12 02:25:36,88,9.9,54.545,10.063,33.2,4
1466,2019.12.12 02:20:35,88,9.3,53.755,9.75,33.2,4
1475,2019.12.12 02:15:35,88,9.3,55.731,10,33.2,4
1482,2019.12.12 02:10:34,88,9.4,57.312,10,33.2,4
1490,2019.12.12 02:05:33,88,9.2,53.36,9.938,33.2,4
1499,2019.12.12 02:00:32,88,9.3,54.545,9.875,33.2,4
1508,2019.12.12 01:55:32,88,9.2,53.755,9.688,33.2,4
1517,2019.12.12 01:50:31,88,9.2,54.941,9.813,33.2,4
1526,2019.12.12 01:45:30,88,9,54.15,9.938,33.2,4
1535,2019.12.12 01:40:30,88,9,55.336,9.813,33.2,4
1544,2019.12.12 01:35:29,88,8.8,56.126,9.875,33.2,4
1553,2019.12.12 01:30:28,88,9.3,53.36,9.938,33.2,4
1562,2019.12.12 01:25:27,88,9.2,55.336,9.75,33.2,4
1571,2019.12.12 01:20:27,88,9.4,56.522,10,33.2,4
1580,2019.12.12 01:15:27,88,9.4,57.312,9.938,33.2,4
1589,2019.12.12 01:10:26,88,9.6,53.36,10.063,33.2,4
1598,2019.12.12 01:05:25,88,9.1,51.779,9.813,33.2,4
1606,2019.12.12 01:00:25,88,9.7,51.779,10,33.2,4
1615,2019.12.12 00:55:24,88,9.8,58.893,10.063,33.2,4
1624,2019.12.12 00:50:23,88,9.6,53.755,9.938,33.2,4
1632,2019.12.12 00:45:21,88,9.9,54.15,10.125,33.2,4
1641,2019.12.12 00:40:22,88,9.5,53.36,9.938,33.2,4
1650,2019.12.12 00:35:21,88,9,54.941,9.938,33.2,4
1659,2019.12.12 00:30:21,88,9.6,56.522,9.875,33.2,4
1668,2019.12.12 00:25:20,88,9.4,56.917,10.063,33.2,4
1676,2019.12.12 00:20:18,88,9.3,54.545,9.938,33.2,4
1684,2019.12.12 00:15:17,88,9.3,53.36,10.063,33.2,4
1692,2019.12.12 00:10:18,88,9.3,57.312,9.938,33.2,4
1701,2019.12.12 00:05:17,88,9.2,56.126,10.063,33.2,4
1710,2019.12.12 00:00:16,88,9.2,53.755,10.063,33.2,4
1719,2019.12.11 23:55:15,88,9.6,51.383,10,33.2,4
1728,2019.12.11 23:50:16,88,9.5,51.779,10.125,33.2,4
1737,2019.12.11 23:45:11,88,9.4,52.569,10.188,33.2,4
1746,2019.12.11 23:40:10,88,9.4,54.941,10.188,33.2,4
1754,2019.12.11 23:35:10,88,9.5,52.964,10.063,33.2,4
1763,2019.12.11 23:30:08,88,9.5,57.312,10,33.2,4
1772,2019.12.11 23:25:08,88,9.3,53.755,10.188,33.2,4
1781,2019.12.11 23:20:08,88,9.7,55.336,10.063,33.2,4
1790,2019.12.11 23:15:06,88,9.6,54.941,10.188,33.2,4
1799,2019.12.11 23:10:05,88,9.4,55.731,10.063,33.2,4
1807,2019.12.11 23:05:04,88,9.4,54.545,10.188,33.2,4
1815,2019.12.11 23:00:04,88,9.4,51.383,10.063,33.2,4
1824,2019.12.11 22:55:03,88,9.5,55.336,10.313,33.2,4
1833,2019.12.11 22:50:02,88,9.5,52.964,10.313,33.2,4
1842,2019.12.11 22:45:01,88,9.2,52.569,10.125,33.2,4
1851,2019.12.11 22:40:01,88,9.2,53.36,10.188,33.2,4
1860,2019.12.11 22:35:00,88,9.3,53.755,10.438,33.2,4
1869,2019.12.11 22:29:59,88,9.3,55.336,10.25,33.2,4
1877,2019.12.11 22:24:59,88,9.5,54.15,10.375,33.2,4
1886,2019.12.11 22:19:58,88,9.5,53.36,10.313,33.2,4
1895,2019.12.11 22:14:57,88,9.5,53.755,10.375,33.2,4
1903,2019.12.11 22:09:57,88,9.2,54.941,10.313,33.2,4
1911,2019.12.11 22:04:57,88,9.1,54.15,10.438,33.2,4
1920,2019.12.11 21:59:56,88,9.1,57.312,10.375,33.2,4
1929,2019.12.11 21:54:55,88,9.3,51.383,10.563,33.2,4
1938,2019.12.11 21:49:54,88,9.1,56.522,10.5,33.2,4
1947,2019.12.11 21:44:53,88,9.1,56.917,10.625,33.2,4
1956,2019.12.11 21:39:54,88,8.8,52.964,10.625,33.2,4
1965,2019.12.11 21:34:53,88,8.8,54.15,10.688,33.2,4
1974,2019.12.11 21:29:52,88,10.2,52.964,10.813,33.2,4
1983,2019.12.11 21:24:50,88,10.8,55.731,10.875,33.2,4
1991,2019.12.11 21:19:50,88,10.5,58.893,10.875,33.2,4
2000,2019.12.11 21:14:49,88,10.2,53.36,10.875,33.2,4
2009,2019.12.11 21:09:49,88,9.8,54.545,11,33.2,4
2018,2019.12.11 21:04:49,88,9.7,54.941,11.063,33.2,4
2027,2019.12.11 20:59:48,89,11.2,53.755,11.188,33.2,4
2036,2019.12.11 20:54:46,89,11.4,53.755,11.188,33.2,4
2044,2019.12.11 20:49:45,89,11,53.755,11.25,33.2,4
2053,2019.12.11 20:44:46,89,11.2,57.312,11.375,33.2,4
2062,2019.12.11 20:39:45,89,11.4,50.988,11.375,33.2,4
2071,2019.12.11 20:34:44,89,11.7,51.779,11.188,33.2,4
2080,2019.12.11 20:29:42,89,11.5,52.964,11.313,33.2,4
2089,2019.12.11 20:24:42,89,11.4,51.383,11.5,33.2,4
2098,2019.12.11 20:19:42,90,12.6,52.964,11.563,33.2,4
2107,2019.12.11 20:14:42,90,12.8,55.336,11.563,33.2,4
2116,2019.12.11 20:09:41,90,12.6,54.15,11.625,33.2,4
