,datetime,air_moisture,air_temperature,soil_moisture,soil_temperature,unnamed,pole_no
231,2020.01.11 14:35:09,91,13.6,73.152,8.438,33.2,3
240,2020.01.11 14:30:08,91,15,73.152,8.438,33.2,3
249,2020.01.11 14:25:08,91,15.7,73.152,8.438,33.2,3
258,2020.01.11 14:20:07,91,15.8,73.152,8.438,33.2,3
268,2020.01.11 14:15:05,89,15.8,73.152,8.438,33.2,3
277,2020.01.11 14:10:04,91,16,73.152,8.438,33.2,3
286,2020.01.11 14:05:03,87,16.4,73.152,8.438,33.2,3
294,2020.01.11 14:00:02,76,16.6,73.152,8.438,33.2,3
303,2020.01.11 13:55:01,79,15.6,73.152,8.438,33.2,3
312,2020.01.11 13:50:01,83,15.7,73.152,8.438,33.2,3
321,2020.01.11 13:45:00,75,17.3,73.152,8.438,33.2,3
330,2020.01.11 13:39:59,83,17,73.152,8.438,33.2,3
339,2020.01.11 13:34:58,72,17.3,73.152,8.438,33.2,3
348,2020.01.11 13:29:58,74,17.1,73.152,8.438,33.2,3
357,2020.01.11 13:24:57,60,18.5,73.152,8.438,33.2,3
366,2020.01.11 13:19:57,71,18.1,73.152,8.438,33.2,3
375,2020.01.11 13:14:56,67,17,73.152,8.438,33.2,3
384,2020.01.11 13:09:56,77,16.6,73.152,8.438,33.2,3
393,2020.01.11 13:04:55,71,17.2,73.152,8.438,33.2,3
402,2020.01.11 12:59:54,78,16.2,73.152,8.438,33.2,3
411,2020.01.11 12:54:54,81,16.7,73.152,8.438,33.2,3
420,2020.01.11 12:49:53,91,15.6,73.152,8.438,33.2,3
429,2020.01.11 12:44:53,87,14.9,73.152,8.438,33.2,3
438,2020.01.11 12:39:52,91,14.7,73.152,8.438,33.2,3
447,2020.01.11 12:34:51,91,14.1,73.152,8.438,33.2,3
456,2020.01.11 12:29:50,91,14,73.152,8.438,33.2,3
465,2020.01.11 12:24:50,91,13,73.152,8.438,33.2,3
474,2020.01.11 12:19:49,91,13,73.152,8.438,33.2,3
